name,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,FPS4,FPS5
Jordan Miller,10084,P,0.5,0.0,0.0,0.0,0.0,1.0,-0.5,,,,,
Kobe Brown,10117,P,1.0,0.5,0.5,0.0,0.0,0.0,2.35,,,,,
Cam Christie,10337,P,,,,,,,0.0,,,,,
Trentyn Flowers,10395,P,,,,,,,0.0,,,,,
DeMar DeRozan,4614,P,25.6,4.0,3.9,1.9,0.5,2.1,41.35,,,,,
Alex Len,5156,P,1.3,2.7,1.0,0.3,1.2,0.8,9.74,21.2,7.699999999999999,6.8,10.2,4.9
Doug McDermott,5322,P,2.4,0.4,0.0,0.0,0.0,0.0,2.88,,,,,
Trey Lyles,5472,P,3.5,2.9,0.8,0.6,0.6,0.5,11.28,2.7,5.2,8.8,19.0,23.9
Domantas Sabonis,5642,P,20.3,13.1,7.3,0.6,0.3,2.6,47.07,52.7,42.7,56.0,37.8,44.2
De'Aaron Fox,5767,P,23.8,4.8,5.1,2.0,0.0,3.8,39.41,27.2,38.7,42.7,49.9,34.0
Malik Monk,5824,P,13.1,3.3,2.9,0.8,0.3,0.8,23.91,25.5,12.2,36.8,21.8,18.3
Kevin Huerter,6030,P,11.5,3.0,1.8,0.8,0.7,0.7,21.6,,,,,
Jordan McLaughlin,6133,P,0.5,0.5,0.5,0.5,0.0,0.5,2.85,,,,,
Mason Jones,6453,P,,,,,,,0.0,,,,,
Keegan Murray,6694,P,15.4,8.3,1.9,0.5,0.8,0.9,31.21,42.9,24.7,36.0,32.5,23.5
Keon Ellis,6753,P,6.4,2.3,1.1,1.7,1.0,0.4,18.51,,,,,
Orlando Robinson,6802,P,,,,,,,0.0,,,,,
Colby Jones,10087,P,0.0,0.0,0.0,0.0,0.3,0.3,0.6,,,,,
Devin Carter,10293,P,,,,,,,0.0,,,,,
Isaiah Crawford,10320,P,,,,,,,0.0,,,,,
Isaac Jones,10341,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
