ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.6259,Garrison,Mathews,SG,ATL,NY,NY@ATL,7:30PM EST,12,18.7," "," "
nba.p.6398,Onyeka,Okongwu,C,ATL,NY,NY@ATL,7:30PM EST,20,26.5," "," "
nba.p.6429,Vit,Krejci,SG,ATL,NY,NY@ATL,7:30PM EST,10,9.5,INJ," "
nba.p.6562,Jalen,Johnson,PF,ATL,NY,NY@ATL,7:30PM EST,35,42.1," "," "
nba.p.6698,Dyson,Daniels,SF,ATL,NY,NY@ATL,7:30PM EST,14,28.6," "," "
nba.p.6713,David,Roddy,SF,ATL,NY,NY@ATL,7:30PM EST,11,22.6," "," "
nba.p.6791,Dominick,Barlow,PF,ATL,NY,NY@ATL,7:30PM EST,10,0.5," "," "
nba.p.10053,Keaton,Wallace,PG,ATL,NY,NY@ATL,7:30PM EST,13,14.4," "," "
nba.p.10069,Mouhamed,Gueye,C,ATL,NY,NY@ATL,7:30PM EST,10,1.7," "," "
nba.p.10073,Seth,Lundy,SG,ATL,NY,NY@ATL,7:30PM EST,10,2.4,INJ," "
nba.p.10105,Kobe,Bufkin,PG,ATL,NY,NY@ATL,7:30PM EST,10,11.0,INJ," "
nba.p.10296,Zaccharie,Risacher,SF,ATL,NY,NY@ATL,7:30PM EST,19,18.3," "," "
nba.p.6654,Matt,Ryan,SG,NY,ATL,NY@ATL,7:30PM EST,10,8.0," "," "
nba.p.4612,Stephen,Curry,PG,GS,BOS,GS@BOS,7:30PM EST,41,37.2," "," "
nba.p.5069,Draymond,Green,PF,GS,BOS,GS@BOS,7:30PM EST,28,27.0," "," "
nba.p.5292,Andrew,Wiggins,SF,GS,BOS,GS@BOS,7:30PM EST,21,28.8," "," "
nba.p.5341,Kyle,Anderson,PF,GS,BOS,GS@BOS,7:30PM EST,16,18.3," "," "
nba.p.5490,Kevon,Looney,C,GS,BOS,GS@BOS,7:30PM EST,15,22.0," "," "
nba.p.5637,Buddy,Hield,SG,GS,BOS,GS@BOS,7:30PM EST,22,34.6," "," "
nba.p.5739,Gary,Payton II,SF,GS,BOS,GS@BOS,7:30PM EST,12,11.5," "," "
nba.p.6057,De'Anthony,Melton,SG,GS,BOS,GS@BOS,7:30PM EST,19,15.6,INJ," "
nba.p.6549,Jonathan,Kuminga,PF,GS,BOS,GS@BOS,7:30PM EST,28,23.5," "," "
nba.p.6556,Moses,Moody,SG,GS,BOS,GS@BOS,7:30PM EST,13,15.3," "," "
nba.p.6687,Lindy,Waters III,SF,GS,BOS,GS@BOS,7:30PM EST,10,13.0," "," "
nba.p.6745,Gui,Santos,SG,GS,BOS,GS@BOS,7:30PM EST,10,2.2," "," "
nba.p.6772,Pat,Spencer,PG,GS,BOS,GS@BOS,7:30PM EST,10,1.8," "," "
nba.p.10080,Trayce,Jackson-Davis,C,GS,BOS,GS@BOS,7:30PM EST,19,20.8," "," "
nba.p.10115,Brandin,Podziemski,SG,GS,BOS,GS@BOS,7:30PM EST,20,23.6," "," "
nba.p.10308,Quinten,Post,C,GS,BOS,GS@BOS,7:30PM EST,10,0.0," "," "
nba.p.10332,Reece,Beekman,PG,GS,BOS,GS@BOS,7:30PM EST,10,3.8," "," "
nba.p.4245,Al,Horford,PF,BOS,GS,GS@BOS,7:30PM EST,20,22.2," "," "
nba.p.4622,Jrue,Holiday,PG,BOS,GS,GS@BOS,7:30PM EST,26,21.9," "," "
nba.p.5464,Kristaps,Porzingis,C,BOS,GS,GS@BOS,7:30PM EST,34,36.8,INJ," "
nba.p.5602,Jaylen,Brown,SF,BOS,GS,GS@BOS,7:30PM EST,37,43.8,INJ," "
nba.p.5765,Jayson,Tatum,PF,BOS,GS,GS@BOS,7:30PM EST,51,51.2," "," "
nba.p.5842,Derrick,White,SG,BOS,GS,GS@BOS,7:30PM EST,30,35.6," "," "
nba.p.5903,Luke,Kornet,C,BOS,GS,GS@BOS,7:30PM EST,10,17.3," "," "
nba.p.6418,Payton,Pritchard,PG,BOS,GS,GS@BOS,7:30PM EST,17,26.3," "," "
nba.p.6427,Xavier,Tillman Sr.,C,BOS,GS,GS@BOS,7:30PM EST,15,7.7," "," "
nba.p.6570,Jaden,Springer,PG,BOS,GS,GS@BOS,7:30PM EST,10,3.6," "," "
nba.p.6581,Neemias,Queta,C,BOS,GS,GS@BOS,7:30PM EST,11,12.7," "," "
nba.p.6619,Sam,Hauser,SF,BOS,GS,GS@BOS,7:30PM EST,16,15.8," "," "
nba.p.6743,JD,Davison,PG,BOS,GS,GS@BOS,7:30PM EST,10,1.6," "," "
nba.p.10075,Jordan,Walsh,PF,BOS,GS,GS@BOS,7:30PM EST,10,4.9," "," "
nba.p.10206,Drew,Peterson,PF,BOS,GS,GS@BOS,7:30PM EST,10,4.6," "," "
nba.p.10277,Baylor,Scheierman,SG,BOS,GS,GS@BOS,7:30PM EST,11,2.9," "," "
nba.p.10321,Anton,Watson,PF,BOS,GS,GS@BOS,7:30PM EST,10,0.0," "," "
nba.p.3704,LeBron,James,SF,LAL,MEM,LAL@MEM,8:00PM EST,49,42.1," "," "
nba.p.5007,Anthony,Davis,C,LAL,MEM,LAL@MEM,8:00PM EST,55,58.4,GTD," "
nba.p.5433,D'Angelo,Russell,PG,LAL,MEM,LAL@MEM,8:00PM EST,30,25.2,GTD," "
nba.p.5583,Christian,Wood,C,LAL,MEM,LAL@MEM,8:00PM EST,13,16.4,INJ," "
nba.p.6052,Jarred,Vanderbilt,PF,LAL,MEM,LAL@MEM,8:00PM EST,15,16.0,INJ," "
nba.p.6170,Jaxson,Hayes,PF,LAL,MEM,LAL@MEM,8:00PM EST,12,13.6," "," "
nba.p.6171,Rui,Hachimura,PF,LAL,MEM,LAL@MEM,8:00PM EST,20,26.1," "," "
nba.p.6172,Cam,Reddish,SG,LAL,MEM,LAL@MEM,8:00PM EST,12,4.6," "," "
nba.p.6353,Gabe,Vincent,PG,LAL,MEM,LAL@MEM,8:00PM EST,13,6.3," "," "
nba.p.6606,Austin,Reaves,SG,LAL,MEM,LAL@MEM,8:00PM EST,27,33.3,GTD," "
nba.p.6723,Christian,Koloko,C,LAL,MEM,LAL@MEM,8:00PM EST,10,0.0," "," "
nba.p.6725,Max,Christie,SG,LAL,MEM,LAL@MEM,8:00PM EST,10,8.8," "," "
nba.p.10079,Maxwell,Lewis,PF,LAL,MEM,LAL@MEM,8:00PM EST,10,0.7," "," "
nba.p.10109,Jalen,Hood-Schifino,PG,LAL,MEM,LAL@MEM,8:00PM EST,10,3.2," "," "
