,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
20,nba.p.6015,Jaren,Jackson Jr.,PF,MEM,MIL,MIL@MEM,8:00PM EDT,38,33.6, , ,2024-10-31,6015,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,6015,P,20.7,4.7,0.7,1.7,1.0,1.7,33.79,41.8,37.7,21.3,35.650000000000006,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,0.4669436439465409
21,nba.p.6164,Ja,Morant,PG,MEM,MIL,MIL@MEM,8:00PM EDT,42,33.1, , ,2024-10-31,6164,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,6164,P,19.0,3.8,8.3,0.3,0.3,4.3,33.51,35.1,33.4,21.0,32.550000000000004,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,0.38573605369496855
22,nba.p.6209,Brandon,Clarke,C,MEM,MIL,MIL@MEM,8:00PM EDT,19,12.4, , ,2024-10-31,6209,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,6209,P,5.4,3.6,0.6,0.8,0.0,0.6,12.42,24.1,7.800000000000001,18.5,15.600000000000001,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,0.40865755094339623
23,nba.p.6255,John,Konchar,SF,MEM,MIL,MIL@MEM,8:00PM EDT,14,15.4, , ,2024-10-31,6255,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,6255,P,5.0,4.7,1.0,0.7,0.7,0.7,15.64,8.6,25.2,12.5,15.030000000000001,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,0.5343422015700808
24,nba.p.6422,Desmond,Bane,SF,MEM,MIL,MIL@MEM,8:00PM EDT,38,32.5,GTD, ,2024-10-31,6422,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,6422,P,18.8,5.4,2.8,1.0,0.6,1.8,32.48,15.2,43.4,27.4,28.979999999999997,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,0.3795799944339621
25,nba.p.6572,Santi,Aldama,PF,MEM,MIL,MIL@MEM,8:00PM EDT,23,27.8, , ,2024-10-31,6572,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,6572,P,12.8,6.6,3.4,0.4,0.8,1.6,27.82,10.6,39.1,38.9,26.01,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,0.5628608559105824
26,nba.p.6617,Jay,Huff,C,MEM,MIL,MIL@MEM,8:00PM EDT,10,19.4, , ,2024-10-31,6617,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,6617,P,10.6,2.4,0.6,0.4,1.4,0.4,19.38,3.0,18.9,23.4,14.78,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,0.7356359836918237
27,nba.p.6709,Jake,LaRavia,PF,MEM,MIL,MIL@MEM,8:00PM EDT,15,19.4, , ,2024-10-31,6709,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,6709,P,6.8,6.0,3.2,0.2,0.4,1.2,19.4,19.9,34.3,16.4,22.23,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,0.7376268794528301
28,nba.p.6737,Vince,Williams Jr.,SF,MEM,MIL,MIL@MEM,8:00PM EDT,23,24.7,INJ, ,2024-10-31,6737,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,6737,P,,,,,,,0.0,,,,,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,
29,nba.p.6757,Scotty,Pippen Jr.,PG,MEM,MIL,MIL@MEM,8:00PM EDT,19,28.1, , ,2024-10-31,6757,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,6757,P,9.8,3.0,7.4,1.4,0.6,2.4,28.1,11.0,38.8,39.0,26.200000000000003,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,0.6863351176100627
