,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,full_name,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,FPS4,FPS5,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
23,nba.p.6276,DaQuan,Jeffries,SG,CHA,DET,DET@CHA,7:00PM EST,10,2.1,INJ, ,2024-11-06,6276,1,DaQuan Jeffries,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6276,P,,,,,,,0.0,,,,,,,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
24,nba.p.6395,LaMelo,Ball,PG,CHA,DET,DET@CHA,7:00PM EST,44,42.3, , ,2024-11-06,6395,1,LaMelo Ball,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6395,P,28.6,4.6,5.7,1.4,0.3,5.4,42.37,22.4,52.8,38.4,31.6,45.1,55.294999999999995,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
25,nba.p.6410,Josh,Green,SF,CHA,DET,DET@CHA,7:00PM EST,12,14.0, , ,2024-11-06,6410,1,Josh Green,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6410,P,7.4,1.2,1.2,0.6,0.6,0.2,14.04,8.0,18.0,4.7,21.9,17.6,21.71,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
26,nba.p.6434,Nick,Richards,C,CHA,DET,DET@CHA,7:00PM EST,24,32.7,INJ, ,2024-11-06,6434,1,Nick Richards,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6434,P,11.0,10.0,1.8,0.4,2.4,1.4,32.7,11.1,60.8,36.9,32.6,22.1,44.089999999999996,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
27,nba.p.6560,Tre,Mann,PG,CHA,DET,DET@CHA,7:00PM EST,21,29.2, , ,2024-11-06,6560,1,Tre Mann,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6560,P,17.9,3.4,3.9,0.7,0.4,2.0,29.13,25.8,14.7,35.3,41.2,28.0,41.425000000000004,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
28,nba.p.6705,Mark,Williams,C,CHA,DET,DET@CHA,7:00PM EST,24,30.9,INJ, ,2024-11-06,6705,1,Mark Williams,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6705,P,,,,,,,0.0,,,,,,,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
29,nba.p.6733,Moussa,Diabate,C,CHA,DET,DET@CHA,7:00PM EST,10,9.4, , ,2024-11-06,6733,1,Moussa Diabate,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6733,P,2.7,4.4,0.4,0.1,0.3,0.6,9.18,7.0,6.3,15.9,6.3,6.4,11.09,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
30,nba.p.6803,Jared,Rhoden,SF,CHA,DET,DET@CHA,7:00PM EST,11,12.4, , ,2024-11-06,6803,1,Jared Rhoden,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6803,P,4.0,2.0,2.0,1.0,0.0,0.0,12.4,,,,,,,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
31,nba.p.10104,Brandon,Miller,SF,CHA,DET,DET@CHA,7:00PM EST,30,21.8, , ,2024-11-06,10104,1,Brandon Miller,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,10104,P,10.7,2.3,2.7,1.0,0.7,0.7,21.91,,,,,,,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
32,nba.p.10120,Nick,Smith Jr.,SG,CHA,DET,DET@CHA,7:00PM EST,10,5.1, , ,2024-11-06,10120,1,Nick Smith Jr.,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,10120,P,3.5,0.5,0.0,0.5,0.0,0.5,5.1,,,,,,,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
33,nba.p.10295,Tidjane,Salaun,SF,CHA,DET,DET@CHA,7:00PM EST,14,9.2, , ,2024-11-06,10295,1,Tidjane Salaun,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,10295,P,3.4,2.6,1.0,0.6,0.0,0.6,9.22,,,,,,,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
34,nba.p.10323,KJ,Simpson,PG,CHA,DET,DET@CHA,7:00PM EST,10,7.1, , ,2024-11-06,10323,1,KJ Simpson,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,10323,P,2.0,3.0,1.0,0.0,0.0,0.0,7.1,,,,,,,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
